ID;Document;Organization name ;Country;Date;Title;Year ;Link;Language ;
119;PDF;SIT;ITALY;12/10/20;SIT S.p.A. Consolidated Non-Financial Statement 2019;2020;https://database.globalreporting.org/reports/80771/;ENGLISH;
120;PDF;Snam;ITALY;30/07/20;2019 Sustainability Report;2020;https://database.globalreporting.org/reports/80132/;ENGLISH;
121;PDF;Società Cattolica di Assicurazione;ITALY;24/05/19;Rapporto di Sostenibilità 2018;2019;https://database.globalreporting.org/reports/64305/;ITALIAN;
122;PDF;SOL Group;ITALY;30/07/20;2019 Sustainability Report;2020;https://database.globalreporting.org/reports/80120/;ENGLISH;
123;PDF;Sparkasse;ITALY;27/05/19;Dichiarazione Consolidata Non Finanziaria 2018;2019;https://database.globalreporting.org/reports/64505/;ITALIAN;
124;PDF;TechnoGym;ITALY;21/01/20;Dichiarazione Consolidata di Carattere non Finanziario;2018;https://database.globalreporting.org/reports/74948/;ITALIAN;
125;PDF;Terminal Contenitori Porto di Genova - SECH;ITALY;16/09/20;SECH - TDT Sustainability Report 2019;2020;https://database.globalreporting.org/reports/80668/;ENGLISH;
126;PDF;Tim;ITALY;17/06/20;TIM Sustainability Report 2019;2020;https://database.globalreporting.org/reports/79359/;ENGLISH;
127;HTML;Toscani Aeroporti;ITALY;22/01/20;Dichiarazione Consolidata di Carattere non Finanziario 2017;2018;https://database.globalreporting.org/reports/76846/;ITALIAN;
128;PDF;UBI Banca;ITALY;13/05/20;Consolidated non-financial declaration pursuant to legislative decree No.254 of 30th December 2016 - 2017 Sustainability Report;2018;https://database.globalreporting.org/reports/78258/;ENGLISH;
129;PDF;Unicredit;ITALY;07/04/20;Integrated Report 2019;2020;https://database.globalreporting.org/reports/77107/;ENGLISH;
130;HTML;Università degli Studi di Torino;ITALY;30/05/18;Rapporto di Sostenibilità 2016/2017;2018;https://database.globalreporting.org/reports/57280/;ITALIAN;
131;PDF;Università di Firenze;ITALY;18/08/19;Bilancio Sociale 2018;2019;https://database.globalreporting.org/reports/66470/;ITALIAN;
132;PDF;Vittoria Assicurazioni;ITALY;18/05/20;Bilancio di Sostenibilità 2019;2020;https://database.globalreporting.org/reports/78378/;ITALIAN;
133;PDF;Vivida & Partners;ITALY;27/07/18;2017 Sustainability Report;2018;https://database.globalreporting.org/reports/58302/;ENGLISH;
